report_id,date,site,report_type,activity,description,sif_potential,sif_predicted,sif_probability,life_saving_rule,lsr_all_matches,activity_category,barrier_failure
RPT-00140,2025-01-26,Duliajan Field,UA,routine equipment inspection round,Field audit at Duliajan Field identified routine equipment inspection round where communication breakdown between crew and control room. No injury occurred but potential for uncontrolled/unauthorized simultaneous operations was high.,0,0,0.073,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Communication Failure
RPT-00141,2025-04-08,Jorajan Pipeline ROW,UC,driving light vehicle on site road,"While conducting driving light vehicle on site road, a uc occurred at Jorajan Pipeline ROW because isolation point not verified with lock and tag.",0,0,0.313,Driving Safety,"['Driving Safety', 'Energy Isolation']",Driving / Vehicle Movement,Isolation Not Verified
RPT-00142,2025-08-14,Barekuri Well Pad,UC,routine equipment inspection round,"During routine equipment inspection round at Barekuri Well Pad, it was observed that gas test not performed before entry. This created a direct exposure to uncontrolled/unauthorized simultaneous operations.",0,0,0.284,Confined Space,"['Confined Space', 'Work Authorization']",Inspection / Housekeeping,Gas Test Skipped
RPT-00143,2025-08-01,Lakwa Gas Plant,UA,energy isolation / LOTO on pump,"While conducting energy isolation / LOTO on pump, a ua occurred at Lakwa Gas Plant because gas test not performed before entry.",1,1,0.817,Energy Isolation,"['Energy Isolation', 'Confined Space']",Energy Isolation / LOTO,Gas Test Skipped
RPT-00144,2025-05-20,Moran GGS,Incident,confined space entry into storage tank,"While conducting confined space entry into storage tank, a incident occurred at Moran GGS because equipment inspection overdue / defective tool used.",0,0,0.402,Confined Space,['Confined Space'],Confined Space Entry,Defective Equipment
RPT-00145,2025-08-28,Barekuri Well Pad,Near-Miss,electrical panel maintenance,"While conducting electrical panel maintenance, a near-miss occurred at Barekuri Well Pad because barricade/warning signage missing at work area.",0,0,0.307,Unclassified,[],Electrical Maintenance,Barricade/Signage Missing
RPT-00146,2025-07-22,Numaligarh Terminal,Incident,manual lifting with mobile crane,Field audit at Numaligarh Terminal identified manual lifting with mobile crane where communication breakdown between crew and control room. No injury occurred but potential for dropped load / crane failure was high.,0,0,0.4,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Mechanical Lifting,PPE Non-Compliance
RPT-00147,2025-11-23,Barekuri Well Pad,UC,excavation near buried pipeline,"While conducting excavation near buried pipeline, a uc occurred at Barekuri Well Pad because PPE (harness/gloves/goggles) not worn correctly.",0,0,0.34,Working at Height,['Working at Height'],Excavation,PPE Non-Compliance
RPT-00148,2025-10-15,Digboi Refinery,UC,routine equipment inspection round,Field audit at Digboi Refinery identified routine equipment inspection round where isolation point not verified with lock and tag. No injury occurred but potential for uncontrolled/unauthorized simultaneous operations was high.,0,0,0.272,Energy Isolation,"['Energy Isolation', 'Work Authorization']",Inspection / Housekeeping,Isolation Not Verified
RPT-00149,2025-06-04,Lakwa Gas Plant,UC,manual lifting with mobile crane,"Observation (UC) at Lakwa Gas Plant - manual lifting with mobile crane in progress, however PPE (harness/gloves/goggles) not worn correctly, increasing risk of dropped load / crane failure.",0,1,0.823,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Working at Height']",Mechanical Lifting,PPE Non-Compliance
RPT-00150,2025-09-10,Naharkatiya Tank Farm,UA,hot work / welding near flammable storage,"During hot work / welding near flammable storage at Naharkatiya Tank Farm, it was observed that gas test not performed before entry. This created a direct exposure to fire or explosion in presence of flammable atmosphere.",1,1,0.761,Hot Work,"['Hot Work', 'Confined Space']",Hot Work,Gas Test Skipped
RPT-00151,2025-12-23,Digboi Refinery,UA,manual lifting with mobile crane,"Observation (UA) at Digboi Refinery - manual lifting with mobile crane in progress, however equipment inspection overdue / defective tool used, increasing risk of dropped load / crane failure.",0,1,0.526,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Mechanical Lifting,PPE Non-Compliance
RPT-00152,2025-11-12,Naharkatiya Tank Farm,Incident,vehicle movement in loading bay,"During vehicle movement in loading bay at Naharkatiya Tank Farm, it was observed that gas test not performed before entry. This created a direct exposure to vehicle collision.",0,0,0.414,Confined Space,"['Confined Space', 'Driving Safety']",Driving / Vehicle Movement,Gas Test Skipped
RPT-00153,2025-07-05,Barekuri Well Pad,UA,working at height on scaffolding,"Observation (UA) at Barekuri Well Pad - working at height on scaffolding in progress, however supervision inadequate for high-risk task, increasing risk of fall from height.",0,0,0.456,Working at Height,['Working at Height'],Working at Height,Inadequate Supervision
RPT-00154,2025-03-04,Kumchai Compressor Station,UA,excavation near buried pipeline,"While conducting excavation near buried pipeline, a ua occurred at Kumchai Compressor Station because supervision inadequate for high-risk task.",0,0,0.105,Unclassified,[],Excavation,Inadequate Supervision
RPT-00155,2025-01-26,Digboi Refinery,UC,routine equipment inspection round,Field audit at Digboi Refinery identified routine equipment inspection round where isolation point not verified with lock and tag. No injury occurred but potential for uncontrolled/unauthorized simultaneous operations was high.,0,0,0.272,Energy Isolation,"['Energy Isolation', 'Work Authorization']",Inspection / Housekeeping,Isolation Not Verified
RPT-00156,2025-04-21,Moran GGS,UA,confined space entry into storage tank,Field audit at Moran GGS identified confined space entry into storage tank where no lifting plan / unqualified rigger used. No injury occurred but potential for asphyxiation or toxic gas exposure was high.,1,1,0.836,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Confined Space']",Confined Space Entry,Permit Not Issued
RPT-00157,2025-10-04,Kumchai Compressor Station,UA,confined space entry into storage tank,UA raised at Kumchai Compressor Station: worker engaged in confined space entry into storage tank without following procedure - no lifting plan / unqualified rigger used.,0,1,0.666,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Confined Space']",Confined Space Entry,Permit Not Issued
RPT-00158,2025-05-02,Numaligarh Terminal,UA,hot work / welding near flammable storage,"While conducting hot work / welding near flammable storage, a ua occurred at Numaligarh Terminal because permit to work not issued before starting job.",0,1,0.707,Hot Work,"['Hot Work', 'Work Authorization']",Hot Work,Permit Not Issued
RPT-00159,2025-09-27,Kumchai Compressor Station,UA,working at height on scaffolding,UA raised at Kumchai Compressor Station: worker engaged in working at height on scaffolding without following procedure - gas test not performed before entry.,1,1,0.69,Working at Height,"['Working at Height', 'Confined Space']",Working at Height,Gas Test Skipped
RPT-00160,2025-08-20,Digboi Refinery,Near-Miss,electrical panel maintenance,Field audit at Digboi Refinery identified electrical panel maintenance where toolbox talk / risk assessment not conducted. No injury occurred but potential for unexpected equipment start-up / stored energy release was high.,0,0,0.493,Energy Isolation,['Energy Isolation'],Electrical Maintenance,Risk Assessment Skipped
RPT-00161,2025-11-26,Moran GGS,Near-Miss,vehicle movement in loading bay,Field audit at Moran GGS identified vehicle movement in loading bay where permit to work not issued before starting job. No injury occurred but potential for vehicle collision was high.,0,0,0.314,Driving Safety,"['Driving Safety', 'Work Authorization']",Driving / Vehicle Movement,Permit Not Issued
RPT-00162,2025-08-16,Duliajan Field,UC,electrical panel maintenance,"During electrical panel maintenance at Duliajan Field, it was observed that communication breakdown between crew and control room. This created a direct exposure to unexpected equipment start-up / stored energy release.",0,0,0.449,Energy Isolation,['Energy Isolation'],Electrical Maintenance,Communication Failure
RPT-00163,2025-11-21,Digboi Refinery,UA,energy isolation / LOTO on pump,UA raised at Digboi Refinery: worker engaged in energy isolation / LOTO on pump without following procedure - no lifting plan / unqualified rigger used.,1,1,0.785,Energy Isolation,"['Energy Isolation', 'Safe Mechanical Lifting']",Energy Isolation / LOTO,Permit Not Issued
RPT-00164,2025-08-21,Duliajan Workshop,UC,housekeeping / material storage,Field audit at Duliajan Workshop identified housekeeping / material storage where supervision inadequate for high-risk task. No injury occurred but potential for loss of critical safety function was high.,0,0,0.092,Unclassified,[],Inspection / Housekeeping,Inadequate Supervision
RPT-00165,2025-11-30,Lakwa Gas Plant,Near-Miss,line of fire during pipe fitting removal,"During line of fire during pipe fitting removal at Lakwa Gas Plant, it was observed that PPE (harness/gloves/goggles) not worn correctly. This created a direct exposure to being struck by moving/falling/suspended object.",0,1,0.764,Line of Fire,"['Line of Fire', 'Working at Height']",Line of Fire Exposure,PPE Non-Compliance
RPT-00166,2025-08-21,Moran GGS,Incident,line of fire during pipe fitting removal,"Observation (Incident) at Moran GGS - line of fire during pipe fitting removal in progress, however toolbox talk / risk assessment not conducted, increasing risk of being struck by moving/falling/suspended object.",0,0,0.298,Line of Fire,['Line of Fire'],Line of Fire Exposure,Risk Assessment Skipped
RPT-00167,2025-07-11,Naharkatiya Tank Farm,UA,housekeeping / material storage,"While conducting housekeeping / material storage, a ua occurred at Naharkatiya Tank Farm because PPE (harness/gloves/goggles) not worn correctly.",0,0,0.397,Working at Height,['Working at Height'],Inspection / Housekeeping,PPE Non-Compliance
RPT-00168,2025-07-10,Jorajan Pipeline ROW,Near-Miss,hot work / welding near flammable storage,"During hot work / welding near flammable storage at Jorajan Pipeline ROW, it was observed that PPE (harness/gloves/goggles) not worn correctly. This created a direct exposure to fire or explosion in presence of flammable atmosphere.",1,1,0.729,Hot Work,"['Hot Work', 'Working at Height']",Hot Work,PPE Non-Compliance
RPT-00169,2025-03-04,Duliajan Workshop,Incident,working at height on scaffolding,Field audit at Duliajan Workshop identified working at height on scaffolding where no lifting plan / unqualified rigger used. No injury occurred but potential for fall from height was high.,1,1,0.781,Working at Height,"['Working at Height', 'Safe Mechanical Lifting']",Working at Height,Permit Not Issued
RPT-00170,2025-11-04,Kumchai Compressor Station,Incident,routine equipment inspection round,"During routine equipment inspection round at Kumchai Compressor Station, it was observed that communication breakdown between crew and control room. This created a direct exposure to uncontrolled/unauthorized simultaneous operations.",0,0,0.092,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Communication Failure
RPT-00171,2025-04-25,Kumchai Compressor Station,UC,hot work / welding near flammable storage,UC raised at Kumchai Compressor Station: worker engaged in hot work / welding near flammable storage without following procedure - no lifting plan / unqualified rigger used.,1,1,0.767,Hot Work,"['Hot Work', 'Safe Mechanical Lifting']",Hot Work,Permit Not Issued
RPT-00172,2025-08-08,Kumchai Compressor Station,UA,excavation near buried pipeline,"While conducting excavation near buried pipeline, a ua occurred at Kumchai Compressor Station because supervision inadequate for high-risk task.",0,0,0.105,Unclassified,[],Excavation,Inadequate Supervision
RPT-00173,2025-05-20,Lakwa Gas Plant,UA,vehicle movement in loading bay,"While conducting vehicle movement in loading bay, a ua occurred at Lakwa Gas Plant because equipment inspection overdue / defective tool used.",1,0,0.34,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Defective Equipment
RPT-00174,2025-07-25,Barekuri Well Pad,UA,energy isolation / LOTO on pump,UA raised at Barekuri Well Pad: worker engaged in energy isolation / LOTO on pump without following procedure - supervision inadequate for high-risk task.,0,0,0.415,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Inadequate Supervision
RPT-00175,2025-08-03,Numaligarh Terminal,UA,housekeeping / material storage,Field audit at Numaligarh Terminal identified housekeeping / material storage where permit to work not issued before starting job. No injury occurred but potential for loss of critical safety function was high.,0,0,0.303,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Permit Not Issued
RPT-00176,2025-10-18,Kumchai Compressor Station,UA,confined space entry into storage tank,"While conducting confined space entry into storage tank, a ua occurred at Kumchai Compressor Station because supervision inadequate for high-risk task.",0,0,0.313,Confined Space,['Confined Space'],Confined Space Entry,Inadequate Supervision
RPT-00177,2025-02-11,Digboi Refinery,UA,working at height on scaffolding,Field audit at Digboi Refinery identified working at height on scaffolding where gas test not performed before entry. No injury occurred but potential for fall from height was high.,1,1,0.795,Working at Height,"['Working at Height', 'Confined Space']",Working at Height,Gas Test Skipped
RPT-00178,2025-04-21,Jorajan Pipeline ROW,UC,routine equipment inspection round,"Observation (UC) at Jorajan Pipeline ROW - routine equipment inspection round in progress, however communication breakdown between crew and control room, increasing risk of uncontrolled/unauthorized simultaneous operations.",0,0,0.076,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Communication Failure
RPT-00179,2025-12-08,Digboi Refinery,UA,energy isolation / LOTO on pump,Field audit at Digboi Refinery identified energy isolation / LOTO on pump where communication breakdown between crew and control room. No injury occurred but potential for unexpected equipment start-up / stored energy release was high.,0,0,0.384,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Communication Failure
RPT-00180,2025-06-04,Duliajan Field,Incident,manual lifting with mobile crane,"During manual lifting with mobile crane at Duliajan Field, it was observed that communication breakdown between crew and control room. This created a direct exposure to dropped load / crane failure.",1,0,0.417,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Mechanical Lifting,PPE Non-Compliance
RPT-00181,2025-08-09,Numaligarh Terminal,UA,driving light vehicle on site road,"During driving light vehicle on site road at Numaligarh Terminal, it was observed that barricade/warning signage missing at work area. This created a direct exposure to vehicle collision.",0,0,0.091,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Barricade/Signage Missing
RPT-00182,2025-12-09,Numaligarh Terminal,Near-Miss,line of fire during pipe fitting removal,Field audit at Numaligarh Terminal identified line of fire during pipe fitting removal where equipment inspection overdue / defective tool used. No injury occurred but potential for being struck by moving/falling/suspended object was high.,0,0,0.49,Line of Fire,['Line of Fire'],Line of Fire Exposure,Defective Equipment
RPT-00183,2025-06-10,Digboi Refinery,UC,line of fire during pipe fitting removal,"Observation (UC) at Digboi Refinery - line of fire during pipe fitting removal in progress, however permit to work not issued before starting job, increasing risk of being struck by moving/falling/suspended object.",0,1,0.581,Line of Fire,"['Line of Fire', 'Work Authorization']",Line of Fire Exposure,Permit Not Issued
RPT-00184,2025-07-27,Naharkatiya Tank Farm,Near-Miss,vehicle movement in loading bay,"Observation (Near-Miss) at Naharkatiya Tank Farm - vehicle movement in loading bay in progress, however communication breakdown between crew and control room, increasing risk of vehicle collision.",0,0,0.113,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Communication Failure
RPT-00185,2025-02-24,Kumchai Compressor Station,UC,confined space entry into storage tank,"While conducting confined space entry into storage tank, a uc occurred at Kumchai Compressor Station because no lifting plan / unqualified rigger used.",1,1,0.748,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Confined Space']",Confined Space Entry,Permit Not Issued
RPT-00186,2025-06-23,Naharkatiya Tank Farm,UC,vehicle movement in loading bay,"Observation (UC) at Naharkatiya Tank Farm - vehicle movement in loading bay in progress, however communication breakdown between crew and control room, increasing risk of vehicle collision.",0,0,0.112,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Communication Failure
RPT-00187,2025-04-10,Kumchai Compressor Station,UC,confined space entry into storage tank,"During confined space entry into storage tank at Kumchai Compressor Station, it was observed that PPE (harness/gloves/goggles) not worn correctly. This created a direct exposure to asphyxiation or toxic gas exposure.",1,1,0.754,Confined Space,"['Confined Space', 'Working at Height']",Confined Space Entry,PPE Non-Compliance
RPT-00188,2025-03-30,Kumchai Compressor Station,UA,housekeeping / material storage,UA raised at Kumchai Compressor Station: worker engaged in housekeeping / material storage without following procedure - gas test not performed before entry.,0,0,0.279,Confined Space,['Confined Space'],Inspection / Housekeeping,Gas Test Skipped
RPT-00189,2025-10-16,Numaligarh Terminal,UA,routine equipment inspection round,"Observation (UA) at Numaligarh Terminal - routine equipment inspection round in progress, however PPE (harness/gloves/goggles) not worn correctly, increasing risk of uncontrolled/unauthorized simultaneous operations.",0,0,0.324,Working at Height,"['Working at Height', 'Work Authorization']",Inspection / Housekeeping,PPE Non-Compliance
RPT-00190,2025-11-18,Jorajan Pipeline ROW,UC,routine equipment inspection round,Field audit at Jorajan Pipeline ROW identified routine equipment inspection round where no lifting plan / unqualified rigger used. No injury occurred but potential for uncontrolled/unauthorized simultaneous operations was high.,0,0,0.309,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Work Authorization']",Inspection / Housekeeping,Permit Not Issued
RPT-00191,2025-10-30,Numaligarh Terminal,UC,electrical panel maintenance,"While conducting electrical panel maintenance, a uc occurred at Numaligarh Terminal because PPE (harness/gloves/goggles) not worn correctly.",0,1,0.796,Working at Height,['Working at Height'],Electrical Maintenance,PPE Non-Compliance
RPT-00192,2025-07-08,Kumchai Compressor Station,UA,excavation near buried pipeline,"Observation (UA) at Kumchai Compressor Station - excavation near buried pipeline in progress, however PPE (harness/gloves/goggles) not worn correctly, increasing risk of being struck by moving/falling/suspended object.",1,0,0.427,Line of Fire,"['Line of Fire', 'Working at Height']",Excavation,PPE Non-Compliance
RPT-00193,2025-10-25,Digboi Refinery,UC,routine equipment inspection round,Field audit at Digboi Refinery identified routine equipment inspection round where PPE (harness/gloves/goggles) not worn correctly. No injury occurred but potential for uncontrolled/unauthorized simultaneous operations was high.,0,0,0.285,Working at Height,"['Working at Height', 'Work Authorization']",Inspection / Housekeeping,PPE Non-Compliance
RPT-00194,2025-09-14,Duliajan Field,Near-Miss,electrical panel maintenance,"While conducting electrical panel maintenance, a near-miss occurred at Duliajan Field because no lifting plan / unqualified rigger used.",1,1,0.715,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Electrical Maintenance,Permit Not Issued
RPT-00195,2025-02-13,Duliajan Field,Near-Miss,electrical panel maintenance,"While conducting electrical panel maintenance, a near-miss occurred at Duliajan Field because PPE (harness/gloves/goggles) not worn correctly.",0,1,0.664,Working at Height,['Working at Height'],Electrical Maintenance,PPE Non-Compliance
RPT-00196,2025-11-09,Numaligarh Terminal,Near-Miss,working at height on scaffolding,"Observation (Near-Miss) at Numaligarh Terminal - working at height on scaffolding in progress, however isolation point not verified with lock and tag, increasing risk of fall from height.",1,1,0.785,Working at Height,"['Working at Height', 'Energy Isolation']",Working at Height,Isolation Not Verified
RPT-00197,2025-01-27,Kumchai Compressor Station,UC,energy isolation / LOTO on pump,"While conducting energy isolation / LOTO on pump, a uc occurred at Kumchai Compressor Station because barricade/warning signage missing at work area.",0,0,0.357,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Barricade/Signage Missing
RPT-00198,2025-12-03,Kumchai Compressor Station,UA,hot work / welding near flammable storage,"Observation (UA) at Kumchai Compressor Station - hot work / welding near flammable storage in progress, however supervision inadequate for high-risk task, increasing risk of fire or explosion in presence of flammable atmosphere.",0,0,0.374,Hot Work,['Hot Work'],Hot Work,Inadequate Supervision
RPT-00199,2025-06-08,Numaligarh Terminal,UC,energy isolation / LOTO on pump,UC raised at Numaligarh Terminal: worker engaged in energy isolation / LOTO on pump without following procedure - PPE (harness/gloves/goggles) not worn correctly.,0,1,0.808,Energy Isolation,"['Energy Isolation', 'Working at Height']",Energy Isolation / LOTO,PPE Non-Compliance
RPT-00200,2025-07-12,Naharkatiya Tank Farm,Near-Miss,confined space entry into storage tank,"During confined space entry into storage tank at Naharkatiya Tank Farm, it was observed that no lifting plan / unqualified rigger used. This created a direct exposure to asphyxiation or toxic gas exposure.",1,1,0.816,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Confined Space']",Confined Space Entry,Permit Not Issued
RPT-00201,2025-01-10,Kumchai Compressor Station,UA,confined space entry into storage tank,"Observation (UA) at Kumchai Compressor Station - confined space entry into storage tank in progress, however equipment inspection overdue / defective tool used, increasing risk of asphyxiation or toxic gas exposure.",0,0,0.46,Confined Space,['Confined Space'],Confined Space Entry,Defective Equipment
RPT-00202,2025-03-12,Barekuri Well Pad,UA,confined space entry into storage tank,"Observation (UA) at Barekuri Well Pad - confined space entry into storage tank in progress, however isolation point not verified with lock and tag, increasing risk of asphyxiation or toxic gas exposure.",1,1,0.676,Energy Isolation,"['Energy Isolation', 'Confined Space']",Confined Space Entry,Isolation Not Verified
RPT-00203,2025-09-27,Digboi Refinery,UC,driving light vehicle on site road,Field audit at Digboi Refinery identified driving light vehicle on site road where PPE (harness/gloves/goggles) not worn correctly. No injury occurred but potential for vehicle collision was high.,0,0,0.217,Driving Safety,"['Driving Safety', 'Working at Height']",Driving / Vehicle Movement,PPE Non-Compliance
RPT-00204,2025-12-21,Kumchai Compressor Station,UC,vehicle movement in loading bay,UC raised at Kumchai Compressor Station: worker engaged in vehicle movement in loading bay without following procedure - gas test not performed before entry.,0,0,0.343,Confined Space,"['Confined Space', 'Driving Safety']",Driving / Vehicle Movement,Gas Test Skipped
RPT-00205,2025-05-02,Numaligarh Terminal,UA,housekeeping / material storage,"While conducting housekeeping / material storage, a ua occurred at Numaligarh Terminal because toolbox talk / risk assessment not conducted.",0,0,0.122,Unclassified,[],Inspection / Housekeeping,Risk Assessment Skipped
RPT-00206,2025-08-29,Lakwa Gas Plant,UA,driving light vehicle on site road,UA raised at Lakwa Gas Plant: worker engaged in driving light vehicle on site road without following procedure - toolbox talk / risk assessment not conducted.,0,0,0.128,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Risk Assessment Skipped
RPT-00207,2025-07-15,Kumchai Compressor Station,Incident,routine equipment inspection round,"Observation (Incident) at Kumchai Compressor Station - routine equipment inspection round in progress, however no lifting plan / unqualified rigger used, increasing risk of uncontrolled/unauthorized simultaneous operations.",0,0,0.212,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Work Authorization']",Inspection / Housekeeping,Permit Not Issued
RPT-00208,2025-05-09,Duliajan Workshop,Near-Miss,line of fire during pipe fitting removal,Field audit at Duliajan Workshop identified line of fire during pipe fitting removal where gas test not performed before entry. No injury occurred but potential for being struck by moving/falling/suspended object was high.,1,1,0.621,Line of Fire,"['Line of Fire', 'Confined Space']",Line of Fire Exposure,Gas Test Skipped
RPT-00209,2025-05-26,Jorajan Pipeline ROW,Incident,energy isolation / LOTO on pump,Field audit at Jorajan Pipeline ROW identified energy isolation / LOTO on pump where equipment inspection overdue / defective tool used. No injury occurred but potential for unexpected equipment start-up / stored energy release was high.,0,1,0.556,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Defective Equipment
RPT-00210,2025-02-16,Numaligarh Terminal,Incident,driving light vehicle on site road,Incident raised at Numaligarh Terminal: worker engaged in driving light vehicle on site road without following procedure - toolbox talk / risk assessment not conducted.,0,0,0.114,Driving Safety,['Driving Safety'],Driving / Vehicle Movement,Risk Assessment Skipped
RPT-00211,2025-05-01,Jorajan Pipeline ROW,UC,energy isolation / LOTO on pump,"Observation (UC) at Jorajan Pipeline ROW - energy isolation / LOTO on pump in progress, however permit to work not issued before starting job, increasing risk of unexpected equipment start-up / stored energy release.",1,1,0.733,Energy Isolation,"['Energy Isolation', 'Work Authorization']",Energy Isolation / LOTO,Permit Not Issued
RPT-00212,2025-11-29,Digboi Refinery,UA,energy isolation / LOTO on pump,"During energy isolation / LOTO on pump at Digboi Refinery, it was observed that isolation point not verified with lock and tag. This created a direct exposure to unexpected equipment start-up / stored energy release.",0,1,0.8,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Isolation Not Verified
RPT-00213,2025-03-13,Numaligarh Terminal,UA,confined space entry into storage tank,"Observation (UA) at Numaligarh Terminal - confined space entry into storage tank in progress, however permit to work not issued before starting job, increasing risk of asphyxiation or toxic gas exposure.",1,1,0.667,Confined Space,"['Confined Space', 'Work Authorization']",Confined Space Entry,Permit Not Issued
RPT-00214,2025-04-21,Jorajan Pipeline ROW,UA,electrical panel maintenance,"During electrical panel maintenance at Jorajan Pipeline ROW, it was observed that no lifting plan / unqualified rigger used. This created a direct exposure to unexpected equipment start-up / stored energy release.",1,1,0.87,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Energy Isolation']",Electrical Maintenance,Permit Not Issued
RPT-00215,2025-05-02,Duliajan Workshop,UC,housekeeping / material storage,"During housekeeping / material storage at Duliajan Workshop, it was observed that no lifting plan / unqualified rigger used. This created a direct exposure to loss of critical safety function.",0,0,0.351,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Inspection / Housekeeping,Permit Not Issued
RPT-00216,2025-02-26,Digboi Refinery,UC,working at height on scaffolding,Field audit at Digboi Refinery identified working at height on scaffolding where isolation point not verified with lock and tag. No injury occurred but potential for fall from height was high.,1,1,0.809,Working at Height,"['Working at Height', 'Energy Isolation']",Working at Height,Isolation Not Verified
RPT-00217,2025-03-15,Lakwa Gas Plant,UC,excavation near buried pipeline,Field audit at Lakwa Gas Plant identified excavation near buried pipeline where permit to work not issued before starting job. No injury occurred but potential for being struck by moving/falling/suspended object was high.,0,0,0.387,Line of Fire,"['Line of Fire', 'Work Authorization']",Excavation,Permit Not Issued
RPT-00218,2025-12-07,Naharkatiya Tank Farm,UC,working at height on scaffolding,Field audit at Naharkatiya Tank Farm identified working at height on scaffolding where no lifting plan / unqualified rigger used. No injury occurred but potential for fall from height was high.,1,1,0.846,Working at Height,"['Working at Height', 'Safe Mechanical Lifting']",Working at Height,Permit Not Issued
RPT-00219,2025-09-17,Digboi Refinery,UA,excavation near buried pipeline,Field audit at Digboi Refinery identified excavation near buried pipeline where supervision inadequate for high-risk task. No injury occurred but potential for being struck by moving/falling/suspended object was high.,0,0,0.138,Line of Fire,['Line of Fire'],Excavation,Inadequate Supervision
RPT-00220,2025-05-10,Duliajan Field,UA,line of fire during pipe fitting removal,"Observation (UA) at Duliajan Field - line of fire during pipe fitting removal in progress, however toolbox talk / risk assessment not conducted, increasing risk of being struck by moving/falling/suspended object.",0,0,0.287,Line of Fire,['Line of Fire'],Line of Fire Exposure,Risk Assessment Skipped
RPT-00221,2025-06-20,Duliajan Field,UA,energy isolation / LOTO on pump,"During energy isolation / LOTO on pump at Duliajan Field, it was observed that PPE (harness/gloves/goggles) not worn correctly. This created a direct exposure to unexpected equipment start-up / stored energy release.",0,1,0.772,Energy Isolation,"['Energy Isolation', 'Working at Height']",Energy Isolation / LOTO,PPE Non-Compliance
RPT-00222,2025-12-17,Duliajan Field,UA,energy isolation / LOTO on pump,UA raised at Duliajan Field: worker engaged in energy isolation / LOTO on pump without following procedure - equipment inspection overdue / defective tool used.,0,1,0.549,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Defective Equipment
RPT-00223,2025-08-23,Jorajan Pipeline ROW,Near-Miss,routine equipment inspection round,"During routine equipment inspection round at Jorajan Pipeline ROW, it was observed that gas test not performed before entry. This created a direct exposure to uncontrolled/unauthorized simultaneous operations.",0,0,0.316,Confined Space,"['Confined Space', 'Work Authorization']",Inspection / Housekeeping,Gas Test Skipped
RPT-00224,2025-06-08,Barekuri Well Pad,Near-Miss,manual lifting with mobile crane,"During manual lifting with mobile crane at Barekuri Well Pad, it was observed that permit to work not issued before starting job. This created a direct exposure to dropped load / crane failure.",1,1,0.671,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Work Authorization']",Mechanical Lifting,Permit Not Issued
RPT-00225,2025-01-25,Naharkatiya Tank Farm,UA,excavation near buried pipeline,UA raised at Naharkatiya Tank Farm: worker engaged in excavation near buried pipeline without following procedure - toolbox talk / risk assessment not conducted.,0,0,0.154,Unclassified,[],Excavation,Risk Assessment Skipped
RPT-00226,2025-08-14,Kumchai Compressor Station,Near-Miss,driving light vehicle on site road,"Observation (Near-Miss) at Kumchai Compressor Station - driving light vehicle on site road in progress, however PPE (harness/gloves/goggles) not worn correctly, increasing risk of vehicle collision.",0,0,0.265,Driving Safety,"['Driving Safety', 'Working at Height']",Driving / Vehicle Movement,PPE Non-Compliance
RPT-00227,2025-09-23,Kumchai Compressor Station,Near-Miss,confined space entry into storage tank,"While conducting confined space entry into storage tank, a near-miss occurred at Kumchai Compressor Station because toolbox talk / risk assessment not conducted.",0,0,0.353,Confined Space,['Confined Space'],Confined Space Entry,Risk Assessment Skipped
RPT-00228,2025-04-03,Digboi Refinery,UA,housekeeping / material storage,Field audit at Digboi Refinery identified housekeeping / material storage where communication breakdown between crew and control room. No injury occurred but potential for loss of critical safety function was high.,0,0,0.099,Unclassified,[],Inspection / Housekeeping,Communication Failure
RPT-00229,2025-11-05,Barekuri Well Pad,UA,energy isolation / LOTO on pump,"While conducting energy isolation / LOTO on pump, a ua occurred at Barekuri Well Pad because PPE (harness/gloves/goggles) not worn correctly.",1,1,0.732,Energy Isolation,"['Energy Isolation', 'Working at Height']",Energy Isolation / LOTO,PPE Non-Compliance
